"Type","cause","Year","Total Deaths"
Bencana Non Alam dan Penyakit,AIDS,2005,592
Bencana Non Alam dan Penyakit,AIDS,2005,509
Bencana Non Alam dan Penyakit,AIDS,2006,539
Bencana Non Alam dan Penyakit,AIDS,2006,539
Bencana Non Alam dan Penyakit,AIDS,2006,539
Bencana Non Alam dan Penyakit,AIDS,2006,539
Bencana Non Alam dan Penyakit,AIDS,2006,539
Bencana Non Alam dan Penyakit,AIDS,2006,635
Bencana Non Alam dan Penyakit,AIDS,2007,498
Bencana Non Alam dan Penyakit,AIDS,2007,498
Bencana Non Alam dan Penyakit,AIDS,2007,498
Bencana Non Alam dan Penyakit,AIDS,2007,498
Bencana Non Alam dan Penyakit,AIDS,2007,788
Bencana Non Alam dan Penyakit,AIDS,2008,993
Bencana Non Alam dan Penyakit,AIDS,2009,484
Bencana Non Alam dan Penyakit,AIDS,2009,484
Bencana Non Alam dan Penyakit,AIDS,2009,331
Bencana Non Alam dan Penyakit,AIDS,2010,693
Bencana Non Alam dan Penyakit,AIDS,2010,979
Bencana Non Alam dan Penyakit,AIDS,2011,597
Bencana Non Alam dan Penyakit,AIDS,2019,614
Bencana Non Alam dan Penyakit,AIDS,2020,665
Bencana Sosial,Aksi Teror dan Sabotase,2015,0
Bencana Sosial,Aksi Teror dan Sabotase,2016,13
Bencana Sosial,Aksi Teror dan Sabotase,2017,0
Bencana Sosial,Aksi Teror dan Sabotase,2018,18
Bencana Sosial,Aksi Teror dan Sabotase,2019,3
Bencana Sosial,Aksi Teror dan Sabotase,2020,4
Bencana Sosial,Aksi Teror dan Sabotase,2021,4
Bencana Alam,Angin kencang,2008,3
Bencana Alam,Angin Puting Beliung,2008,13
Bencana Non Alam dan Penyakit,AIDS,2008,993
Bencana Non Alam dan Penyakit,AIDS,2008,993
Bencana Non Alam dan Penyakit,AIDS,2008,711
Bencana Alam,Angin Puting Beliung,2015,37
Bencana Alam,Angin Puting Beliung,2016,20
Bencana Alam,Angin Puting Beliung,2017,0
Bencana Alam,Angin Puting Beliung,2018,10
Bencana Alam,Angin Puting Beliung,2019,4
Bencana Alam,Angin Puting Beliung,2020,12
Bencana Alam,Angin Puting Beliung,2021,4
Bencana Alam,Angin siklon tropis (angin kencang dan angin puting beliung),2009,4
Bencana Alam,Angin Topan / Angin Puting Beliung / Angin Puyuh,2006,9
Bencana Alam,Angin Topan / Angin Puting Beliung / Angin Puyuh,2007,10
Bencana Non Alam dan Penyakit,Antraks,2001,2
Bencana Non Alam dan Penyakit,Antraks,2002,8
Bencana Non Alam dan Penyakit,Antraks,2002,8
Bencana Non Alam dan Penyakit,Antraks,2003,2
Bencana Non Alam dan Penyakit,Antraks,2003,2
Bencana Non Alam dan Penyakit,Antraks,2004,8
Bencana Non Alam dan Penyakit,Antraks,2004,8
Bencana Non Alam dan Penyakit,Antraks,2005,1
Bencana Non Alam dan Penyakit,Antraks,2005,1
Bencana Non Alam dan Penyakit,Antraks,2006,1
Bencana Non Alam dan Penyakit,Antraks,2006,1
Bencana Non Alam dan Penyakit,Antraks,2006,1
Bencana Non Alam dan Penyakit,Antraks,2007,5
